id,title,freq
1,essere,NULL
2,avere,NULL
3,andare,NULL
4,fare,NULL
5,potere,NULL
6,volere,NULL
7,venire,NULL
8,dovere,NULL
9,dare,NULL
10,stare,NULL
11,dire,NULL
12,vedere,NULL
13,sapere,NULL
14,prendere,NULL
15,uscire,NULL
16,mangiare,NULL
17,parlare,NULL
18,piacere,NULL
19,finire,NULL
20,capire,NULL
21,leggere,NULL
22,bere,NULL
23,arrivare,NULL
24,mettere,NULL
25,rimanere,NULL
26,partire,NULL
27,amare,NULL
28,vivere,NULL
29,dormire,NULL
30,scrivere,NULL
31,conoscere,NULL
32,sentire,NULL
33,chiedere,NULL
34,studiare,NULL
35,trovare,NULL
36,preferire,NULL
37,lavorare,NULL
38,giocare,NULL
39,aprire,NULL
40,chiamare,NULL
41,comprare,NULL
42,tenere,NULL
43,guardare,NULL
44,salire,NULL
45,pensare,NULL
46,cercare,NULL
47,tornare,NULL
48,abitare,NULL
49,cominciare,NULL
50,riuscire,NULL
51,morire,NULL
52,passare,NULL
53,scegliere,NULL
54,correre,NULL
55,perdere,NULL
56,decidere,NULL
57,chiudere,NULL
58,credere,NULL
59,lasciare,NULL
60,ascoltare,NULL
61,cantare,NULL
62,aspettare,NULL
63,portare,NULL
64,pagare,NULL
65,nascere,NULL
66,alzare,NULL
67,ricevere,NULL
68,rispondere,NULL
69,lavare,NULL
70,vestire,NULL
71,scendere,NULL
72,vincere,NULL
73,sedere,NULL
74,svegliare,NULL
75,offrire,NULL
76,incontrare,NULL
77,dimenticare,NULL
78,cadere,NULL
79,entrare,NULL
80,cuocere,NULL
81,pulire,NULL
82,restare,NULL
83,diventare,NULL
84,imparare,NULL
85,divertire,NULL
86,cambiare,NULL
87,seguire,NULL
88,viaggiare,NULL
89,vendere,NULL
90,tradurre,NULL
91,telefonare,NULL
92,preparare,NULL
93,ricordare,NULL
94,aiutare,NULL
95,mancare,NULL
96,ridere,NULL
97,visitare,NULL
98,spegnere,NULL
99,succedere,NULL
100,ritornare,NULL
101,spedire,NULL
102,togliere,NULL
103,porre,NULL
104,accendere,NULL
105,piangere,NULL
106,bisognare,NULL
107,spendere,NULL
108,apparire,NULL
109,proporre,NULL
110,usare,NULL
111,volare,NULL
112,inviare,NULL
113,cucinare,NULL
114,scoprire,NULL
115,servire,NULL
116,fermare,NULL
117,spiegare,NULL
118,crescere,NULL
119,rompere,NULL
120,camminare,NULL
121,temere,NULL
122,continuare,NULL
123,rendere,NULL
124,accorgere,NULL
125,desiderare,NULL
126,sposare,NULL
127,sembrare,NULL
128,suonare,NULL
129,provare,NULL
130,piovere,NULL
131,permettere,NULL
132,mandare,NULL
133,ballare,NULL
134,iniziare,NULL
135,facere,NULL
136,parere,NULL
137,bevere,NULL
138,sperare,NULL
139,raccontare,NULL
140,riposare,NULL
141,smettere,NULL
142,ripetere,NULL
143,invitare,NULL
144,aggiungere,NULL
146,costruire,NULL
147,dipingere,NULL
148,correggere,NULL
149,cogliere,NULL
150,tacere,NULL
151,condurre,NULL
152,muovere,NULL
153,produrre,NULL
154,cenare,NULL
155,domandare,NULL
156,sognare,NULL
157,uccidere,NULL
158,addormentare,NULL
159,salutare,NULL
160,baciare,NULL
