id,title,freq
1,ser,NULL
2,ter,NULL
3,estar,NULL
4,poder,NULL
5,fazer,NULL
6,ir,NULL
7,haver,NULL
8,dizer,NULL
9,dar,NULL
10,ver,NULL
11,saber,NULL
12,querer,NULL
13,ficar,NULL
14,dever,NULL
15,passar,NULL
16,vir,NULL
17,chegar,NULL
18,falar,NULL
19,deixar,NULL
20,encontrar,NULL
21,levar,NULL
22,começar,NULL
23,partir,NULL
24,pensar,NULL
25,parecer,NULL
26,apresentar,NULL
27,olhar,NULL
28,tornar,NULL
29,sair,NULL
30,voltar,NULL
31,conseguir,NULL
32,achar,NULL
33,existir,NULL
34,sentir,NULL
35,entrar,NULL
36,chamar,NULL
37,conhecer,NULL
38,considerar,NULL
39,pôr,NULL
40,continuar,NULL
41,viver,NULL
42,ouvir,NULL
43,tomar,NULL
44,acabar,NULL
45,receber,NULL
46,perder,NULL
47,andar,NULL
48,trabalhar,NULL
49,criar,NULL
50,pedir,NULL
51,seguir,NULL
52,contar,NULL
53,acontecer,NULL
54,afirmar,NULL
55,tratar,NULL
56,esperar,NULL
57,gostar,NULL
58,usar,NULL
59,manter,NULL
60,realizar,NULL
61,abrir,NULL
62,escrever,NULL
63,permitir,NULL
64,ocorrer,NULL
65,mostrar,NULL
66,lembrar,NULL
67,trazer,NULL
68,procurar,NULL
69,morrer,NULL
70,tentar,NULL
71,formar,NULL
72,aparecer,NULL
73,incluir,NULL
74,cair,NULL
75,correr,NULL
76,ganhar,NULL
77,surgir,NULL
78,nascer,NULL
79,pagar,NULL
80,representar,NULL
81,entender,NULL
82,produzir,NULL
83,ler,NULL
84,precisar,NULL
85,perguntar,NULL
86,constituir,NULL
87,colocar,NULL
88,possuir,NULL
89,servir,NULL
90,tirar,NULL
91,responder,NULL
92,obter,NULL
93,desenvolver,NULL
94,explicar,NULL
95,descobrir,NULL
96,acreditar,NULL
97,levantar,NULL
98,mandar,NULL
99,estudar,NULL
100,atingir,NULL
101,sofrer,NULL
102,parar,NULL
103,bater,NULL
104,decidir,NULL
105,referir,NULL
106,fechar,NULL
107,aumentar,NULL
108,acompanhar,NULL
109,defender,NULL
110,lançar,NULL
