id,title,freq
1,yapmak,NULL
2,gitmek,NULL
3,gelmek,NULL
4,almak,NULL
5,istemek,NULL
6,çalışmak,NULL
7,bilmek,NULL
8,konuşmak,NULL
9,okumak,NULL
10,sevmek,NULL
11,demek,NULL
12,düşünmek,NULL
13,yemek,NULL
14,içmek,NULL
15,başlamak,NULL
16,olmak,NULL
17,söylemek,NULL
18,yatmak,NULL
19,oturmak,NULL
20,sormak,NULL
21,açılmak,NULL
22,açmak,NULL
23,ağlamak,NULL
24,akmak,NULL
25,anlamak,NULL
26,anlatmak,NULL
27,aramak,NULL
28,artmak,NULL
29,aşmak,NULL
30,atılmak,NULL
31,atmak,NULL
32,ayırmak,NULL
33,ayrılmak,NULL
34,azalmak,NULL
35,bağırmak,NULL
36,bağlamak,NULL
37,bakmak,NULL
38,basmak,NULL
39,beklemek,NULL
40,belirlemek,NULL
41,belirlenmek,NULL
42,belirtmek,NULL
43,benzemek,NULL
44,bırakmak,NULL
45,bilinmek,NULL
46,binmek,NULL
47,bitirmek,NULL
48,bitmek,NULL
49,bozulmak,NULL
50,bulmak,NULL
51,bulunmak,NULL
52,büyümek,NULL
53,çalmak,NULL
54,çekilmek,NULL
55,çekmek,NULL
56,çevirmek,NULL
57,çıkarılmak,NULL
58,çıkarmak,NULL
59,çıkmak,NULL
60,çizmek,NULL
61,dayanmak,NULL
62,değerlendirmek,NULL
63,değişmek,NULL
64,değiştirmek,NULL
65,dilemek,NULL
66,dinlemek,NULL
67,doğmak,NULL
68,dolaşmak,NULL
69,doldurmak,NULL
70,dönmek,NULL
71,dönüşmek,NULL
72,durmak,NULL
73,duymak,NULL
74,düşmek,NULL
75,düzenlemek,NULL
76,eklemek,NULL
77,etkilemek,NULL
78,etmek,NULL
79,evlenmek,NULL
80,geçirmek,NULL
81,geçmek,NULL
82,gelişmek,NULL
83,geliştirmek,NULL
84,gerçekleşmek,NULL
85,gerekmek,NULL
86,getirmek,NULL
87,girmek,NULL
88,giymek,NULL
89,göndermek,NULL
90,görmek,NULL
91,görünmek,NULL
92,görüşmek,NULL
93,göstermek,NULL
94,götürmek,NULL
95,gülmek,NULL
96,hatırlamak,NULL
97,hazırlamak,NULL
98,hazırlanmak,NULL
99,hissetmek,NULL
100,ilerlemek,NULL
101,ilgilenmek,NULL
102,inanmak,NULL
103,incelemek,NULL
104,inmek,NULL
105,istenmek,NULL
106,izlemek,NULL
107,kaçmak,NULL
108,kaldırmak,NULL
109,kalkmak,NULL
110,kalmak,NULL
111,kapanmak,NULL
112,kapatmak,NULL
113,karışmak,NULL
114,karıştırmak,NULL
115,karşılamak,NULL
116,karşılaşmak,NULL
117,katılmak,NULL
118,kaybetmek,NULL
119,kazanmak,NULL
120,kesilmek,NULL
121,kesmek,NULL
122,kılmak,NULL
123,korkmak,NULL
124,korumak,NULL
125,koşmak,NULL
126,koymak,NULL
127,kullanılmak,NULL
128,kullanmak,NULL
129,kurmak,NULL
130,kurtarmak,NULL
131,kurtulmak,NULL
132,kurulmak,NULL
133,oluşmak,NULL
134,oynamak,NULL
135,ödemek,NULL
136,öğrenmek,NULL
137,öldürmek,NULL
